N	PDBCode	Antibody Type	Chain Spike	HL	RBD	Resolution	Method	Closed clash	Open clash
64	7beh	COVOX-316	E	HL	X	2,30	X-ray	0	0
65	7dk0	MW05	C	AB	X	3,20	X-ray	7	1
66	7bej	COVOX-158	E	HL	X	2,42	X-ray	1382	0
67	7mf1	47D1	A	HL	X	2,09	X-ray	0	0
68	7n3i	C098	C	HL	X	2,03	X-ray	1330	0
69	7r8l_1	C099	E	HL	X	2,60	X-ray	1237	0
70	7e7x	N11	A	HL	O	2,78	X-ray	0	0
71	7ly3	S2M28	A	CD	O	3,00	X-ray	0	0
72	7lxw	S2X333	A	HL	O	2,80	Cryo-EM	1	0
73	7lxx	S2L28	A	HL	O	3,00	Cryo-EM	0	122
74	7lab	DH1052	C	HL	O	2,97	Cryo-EM	64	55
75	7k43	S2M11	A	HL	X	2,60	Cryo-EM	23	0
76	7m71	5A6	A	HL	X	2,66	Cryo-EM	0	0
77	7czx	P5A-1B9	A	HL	X	2,80	Cryo-EM	6	0
78	7m7b	3D11	A	HL	X	2,95	Cryo-EM	2591	773
79	7l2e	4-18	A	HL	O	2,97	Cryo-EM	1	1
80	7jv6	S2H13	A	HL	X	3,00	Cryo-EM	3	1
81	7c2l	4A8	A	HL	O	3,10	Cryo-EM	5	9
82	7mkm	SARS2-38	A	HL	X	3,16	Cryo-EM	21	0
83	7e8c_3	N9	A	HL	O	3,16	Cryo-EM	0	0
84	7cwn_1	P17	B	KI	X	3,20	Cryo-EM	9	0
85	7cwn_2	H104	B	DE	X	3,20	Cryo-EM	2060	516									
